No;Country;Women Entrepreneurship Index;Entrepreneurship Index;Inflation Rate;Female Labor Force 
4;Austria;54.9;64.9;0.9;67.1
6;Belgium;63.6;65.5;0.6;58
17;Estonia;55.4;60.2;-0.88;68.5
18;Finland;66.4;65.7;-0.2;67.7
19;France;68.8;67.3;0;60.6
20;Germany;63.6;67.4;0.5;69.9
22;Greece;43;42;-1.7;42.5
28;Ireland;64.3;65.3;-0.3;59.4
30;Italy;51.4;41.3;0;47.2
34;Latvia;56.6;54.5;0.2;66.4
35;Lithuania;58.5;54.6;-0.9;66.5
39;Netherlands;69.3;66.5;0.6;69.2
50;Slovakia;54.8;45.4;-0.3;55.9
51;Slovenia;55.9;53.1;-0.5;61
53;Spain;52.5;49.6;-0.5;52.7
12;Croatia;49.9;40.6;-0.5;60.4
13;Denmark;69.7;71.4;0.5;70.3
24;Hungary;53.7;42.7;-0.1;57.8
44;Poland;57.7;47.4;-0.9;56.6
54;Sweden;66.7;71.8;0;74
3;Australia;74.8;77.6;1.5;66.8
25;Iceland;68;70.4;1.6;82.3
32;Japan;40;49.5;0.8;64.7
40;Norway;66.3;65.6;2.17;69.2
49;Singapore;59.8;68.1;-0.5;59.18
55;Switzerland;63.7;68.6;-1.1;74.7
56;Taiwan;53.4;69.1;-0.61;55
1;Algeria;27.4;30.2;4.8;18
2;Argentina;35.7;37.2;26.5;47.3
7;Bolivia;29.7;28;4.1;69.4
8;Bosnia and Herzegovina;31.6;28.9;-1;51.9
9;Brazil;31.1;25.8;10.67;55.9
10;China;38.3;36.4;1.4;62.4
11;Costa Rica;36.1;37.7;0.8;59.4
14;Ecuador;32.3;28.2;-0.5;63.5
15;Egypt;27.7;28.1;11;64.6
16;El Salvador;29.9;29.6;-2.25;55.7
21;Ghana;25.8;24.8;17.2;60.8
26;India;25.3;25.3;5.9;61.1
31;Jamaica;38.6;27.2;3.7;37.7
36;Macedonia;41.2;37.1;3.7;73
37;Malaysia;39.2;40;2.3;58.5
38;Mexico;42.8;30.7;2.7;44.7
42;Panama;36.9;32.2;0.1;67.9
43;Peru;43.6;30.9;3.5;63.4
47;Russia;35.6;31.7;15.5;65.2
48;Saudi Arabia;37;49.6;1.2;13
57;Thailand;36.6;32.1;-0.9;62
58;Tunisia;30.7;35.5;4.8;25.19
59;Turkey;39.3;54.6;7.7;30.4
60;Uruguay;44.5;41.4;8.67;68
